field,aliases,type,platforms,required,example,notes
platform,,string,all,yes,"platform: macos","Allowed values: android, android_auto, ios, web, macos, windows"
appId,app_id|string app,string,android|android_auto|ios|macos|windows,yes for app tests,"appId: /Applications/MyApp.app","Android package, Android Auto package, iOS bundle id, macOS .app path or bundle id, Windows executable path"
url,,string,web,yes for web tests,"url: https://example.com","Use for web flows; launchApp can also take a URL/app override"
browser,,string,web,no,"browser: chromium","Browser target for web runs"
tags,,string array,all,no,"tags: [smoke, desktop]","Use for grouping and report filtering"
defaultTimeout,default_timeout_ms,number,all,no,"defaultTimeout: 10000","Milliseconds used by selector waits and assertions"
speed,,string,all,no,"speed: normal","Supported profiles include turbo, fast, normal, safe"
closeWhenFinish,close_when_finish,boolean,web,no,"closeWhenFinish: true","Controls browser cleanup at end of web runs"
env,,map,all,no,"env: { USER_EMAIL: test@example.com }","Test-level environment and variable input"
data,,string,all,no,"data: ./data/users.json","Optional data file used by generated or parameterized tests"
desktopState,,map,macos|windows,no,"desktopState: { clear: { mode: autoSafe } }","Desktop state reset configuration; only used when launchApp clearState is true"
desktopState.clear,,map,macos|windows,no,"desktopState: { clear: { mode: autoSafe } }","Header-level plan for macOS/Windows clearState; do not replace it with clearAppData"
desktopState.clear.mode,,enum,macos|windows,no,"mode: autoSafe","autoSafe adds app-scoped default state paths; manual uses only explicit paths/keys"
desktopState.clear.paths,,string array,macos|windows,no,"paths: [\"~/Library/Application Support/MyApp\"]","macOS paths must stay under HOME; Windows paths must stay under APPDATA or LOCALAPPDATA"
desktopState.clear.keychainServices,keychainServices,string array,macos,no,"keychainServices: [\"com.example.MyApp\"]","macOS-only app-scoped Keychain service names to delete during clearState"
desktopState.clear.registryKeys,registryKeys,string array,windows,no,"registryKeys: [\"HKCU:\\\\Software\\\\Example\"]","Windows-only current-user software registry keys; HKLM and broad keys are rejected"
